Major,Students,State
Health Science,438,alabama
Business,1853,alabama
Marketing,755,alabama
Physical Therapy,236,alabama
Mechanical Engineering,656,alabama
Accounting,639,alabama
Nursing,1534,alabama
Psychology,725,alabama
Management,592,alabama
Education,400,alabama
Biology,248,alabama
Communication,533,alabama
Humanities,564,alabama
Pharmacy,124,alabama
Aerospace Engineering,73,alabama
Electrical Engineering,103,alabama
Visual Arts,44,alabama
History and World Studies,19,alabama
Math,18,alabama
English,14,alabama
Chemistry,11,alabama
Religion,37,alabama
Child Development,132,alabama
Medical Technicians,104,alabama
Trade Mechanical Engineering,133,alabama
Trade Cosmetics,51,alabama
Humanities,61,alaska
Business,54,alaska
Criminal Justice,36,alaska
Nursing,34,alaska
Trade Mechanical Engineering,41,alaska
Environmental Science,22,alaska
Education,20,alaska
Anthropology,17,alaska
Accounting,13,alaska
Business,3723,arizona
Biology,789,arizona
Psychology,1360,arizona
Humanities,3039,arizona
Marketing,643,arizona
Management,1085,arizona
Computer Engineering,447,arizona
Law,670,arizona
Health Science,1386,arizona
Communication,600,arizona
Economics,244,arizona
Aerospace Engineering,280,arizona
International Relations,75,arizona
Mechanical Engineering,242,arizona
Criminal Justice,645,arizona
Trade Aerospace,23,arizona
Electrical Engineering,20,arizona
Education,761,arizona
Nursing,1480,arizona
Physical Therapy,169,arizona
Social Work,212,arizona
Chemistry,33,arizona
Trade Mechanical Engineering,592,arizona
Visual Arts,1115,arizona
Medical Technicians,432,arizona
Trade Electrical,100,arizona
Accounting,58,arizona
Media Arts,63,arizona
Performance Arts,78,arizona
Physics,153,arizona
Earth and Space,143,arizona
Culinary,32,arizona
Architecture,24,arizona
Military,67,arizona
Psychology,394,arkansas
Biology,446,arkansas
Economics,39,arkansas
English,33,arkansas
Health Science,53,arkansas
Environmental Science,15,arkansas
Accounting,250,arkansas
History and World Studies,13,arkansas
Law,25,arkansas
Marketing,345,arkansas
Business,937,arkansas
Nursing,772,arkansas
Management,243,arkansas
Communication,291,arkansas
Education,373,arkansas
Humanities,1221,arkansas
Anthropology,19,arkansas
Religion,14,arkansas
Physical Therapy,104,arkansas
Computer Engineering,29,arkansas
Social Work,29,arkansas
Mechanical Engineering,27,arkansas
Media Arts,15,arkansas
Math,14,arkansas
Visual Arts,8,arkansas
Trade Mechanical Engineering,134,arkansas
Child Development,26,arkansas
Agriculture and Animal Sciences,62,arkansas
Criminal Justice,59,arkansas
Computer Engineering,4150,california
Mechanical Engineering,1330,california
Biology,6429,california
Economics,6058,california
Psychology,13232,california
Humanities,10882,california
Electrical Engineering,732,california
Law,3474,california
International Relations,1286,california
Business,18296,california
Communication,6337,california
Accounting,978,california
Math,1822,california
Health Science,2773,california
English,1043,california
Physics,38,california
Chemical Engineering,13,california
Chemistry,37,california
Bioengineering,11,california
Anthropology,6080,california
History and World Studies,349,california
Environmental Science,1129,california
Criminal Justice,2967,california
Education,5249,california
Management,876,california
Agriculture and Animal Sciences,418,california
Marketing,907,california
Physical Therapy,480,california
Performance Arts,572,california
Culinary,515,california
Nursing,2566,california
Child Development,975,california
Visual Arts,321,california
Dental,27,california
Religion,130,california
Media Arts,54,california
Social Work,720,california
Earth and Space,1062,california
Military,155,california
Foreign Languages,17,california
Music,18,california
Medical Recording,78,california
Medical Technicians,177,california
Trade Mechanical Engineering,383,california
Trade Aerospace,100,california
Architecture,33,california
Mechanical Engineering,979,colorado
Trade Mechanical Engineering,778,colorado
Computer Engineering,514,colorado
Chemical Engineering,136,colorado
Bioengineering,74,colorado
Electrical Engineering,73,colorado
Physics,80,colorado
Economics,727,colorado
Biology,831,colorado
Environmental Science,233,colorado
Anthropology,90,colorado
Humanities,559,colorado
Law,82,colorado
Psychology,1495,colorado
Business,2595,colorado
Marketing,102,colorado
Communication,1292,colorado
International Relations,89,colorado
Management,111,colorado
Health Science,533,colorado
Physical Therapy,242,colorado
Nursing,897,colorado
Architecture,89,colorado
Music,88,colorado
Criminal Justice,141,colorado
Accounting,86,colorado
Education,58,colorado
Medical Technicians,213,colorado
Military,69,colorado
Religion,107,colorado
Economics,864,connecticut
Law,560,connecticut
History and World Studies,283,connecticut
Biology,525,connecticut
Humanities,335,connecticut
Communication,642,connecticut
Psychology,1132,connecticut
English,238,connecticut
International Relations,73,connecticut
Math,75,connecticut
Media Arts,49,connecticut
Nursing,724,connecticut
Business,603,connecticut
Medical Technicians,202,connecticut
Marketing,221,connecticut
Accounting,147,connecticut
Health Science,469,connecticut
Environmental Science,21,connecticut
Computer Engineering,23,connecticut
Social Work,26,connecticut
Chemistry,7,connecticut
Education,5,connecticut
Visual Arts,2,connecticut
Business,374,delaware
Humanities,276,delaware
Marketing,254,delaware
Nursing,191,delaware
Economics,182,delaware
Physical Therapy,173,delaware
Education,160,delaware
Psychology,179,delaware
Mechanical Engineering,159,delaware
Biology,145,delaware
Accounting,30,delaware
Criminal Justice,17,delaware
Management,17,delaware
Law,8,delaware
Biology,3292,florida
Psychology,6051,florida
Law,991,florida
Business,7990,florida
Mechanical Engineering,532,florida
Humanities,6503,florida
Health Science,3974,florida
Economics,741,florida
Nursing,4759,florida
Marketing,2136,florida
Communication,2429,florida
Criminal Justice,2853,florida
English,424,florida
International Relations,406,florida
Anthropology,387,florida
Management,2187,florida
Education,736,florida
Accounting,513,florida
Computer Engineering,378,florida
Aerospace Engineering,2220,florida
Military,369,florida
Trade Aerospace,287,florida
Physics,18,florida
Electrical Engineering,40,florida
Chemical Engineering,37,florida
Bioengineering,35,florida
Music,32,florida
Environmental Science,118,florida
Trade Transportation,141,florida
Trade Mechanical Engineering,377,florida
Medical Technicians,1202,florida
Trade Cosmetics,167,florida
Trade Electrical,147,florida
Media Arts,141,florida
Dental,46,florida
Culinary,105,florida
Social Work,196,florida
Physical Therapy,659,florida
Medical Recording,309,florida
Pharmacy,35,florida
Earth and Space,139,florida
Foreign Languages,18,florida
Landscaping,7,florida
Agriculture and Animal Sciences,23,florida
Performance Arts,16,florida
Communication,1437,georgia
Mechanical Engineering,1349,georgia
Business,2599,georgia
Bioengineering,239,georgia
Chemical Engineering,220,georgia
Aerospace Engineering,207,georgia
Electrical Engineering,341,georgia
Nursing,1282,georgia
Biology,1479,georgia
Economics,241,georgia
Health Science,326,georgia
Psychology,1585,georgia
Chemistry,106,georgia
Law,404,georgia
Education,429,georgia
Humanities,625,georgia
Marketing,869,georgia
International Relations,267,georgia
Management,288,georgia
